,STATIONS_LOOKUP,STATIONS_MTA,ZIPS,GEOCODES
0,"59 ST station, New York, NY",59 ST,10022.0,"[40.762824, -73.967562]"
2,"57 ST-7 AV station, New York, NY",57 ST-7 AV,10106.0,"[40.765564, -73.9803309]"
4,"TIMES SQ-42 ST station, New York, NY",TIMES SQ-42 ST,10018.0,"[40.7544507, -73.9867106]"
5,"34 ST-HERALD SQ station, New York, NY",34 ST-HERALD SQ,11003.0,"[40.750082, -73.98813129999999]"
6,"28 ST station, New York, NY",28 ST,10001.0,"[40.7472228, -73.99311279999999]"
7,"23 ST station, New York, NY",23 ST,10011.0,"[40.7453097, -73.9985238]"
11,"CANAL ST station, New York, NY",CANAL ST,10013.0,"[40.7186743, -74.0006768]"
13,"CORTLANDT ST station, New York, NY",CORTLANDT ST,10006.0,"[40.7108803, -74.0107666]"
16,"DELANCEY/ESSEX station, New York, NY",DELANCEY/ESSEX,10002.0,"[40.7184342, -73.9872006]"
17,"BOWERY station, New York, NY",BOWERY,10002.0,"[40.7203142, -73.9934421]"
19,"FULTON ST station, New York, NY",FULTON ST,10038.0,"[40.7093381, -74.0083434]"
20,"BROAD ST station, New York, NY",BROAD ST,10005.0,"[40.7070231, -74.01088360000001]"
21,"7 AV station, New York, NY",7 AV,10019.0,"[40.7629415, -73.9816377]"
22,"PARK PLACE station, New York, NY",PARK PLACE,10007.0,"[40.7127256, -74.0077975]"
23,"BOTANIC GARDEN station, New York, NY",BOTANIC GARDEN,10458.0,"[40.8672174, -73.8817164]"
24,"PROSPECT PARK station, New York, NY",PROSPECT PARK,11226.0,"[40.6608704, -73.9621482]"
25,"PARKSIDE AV station, New York, NY",PARKSIDE AV,11226.0,"[40.655292, -73.961495]"
26,"CHURCH AV station, New York, NY",CHURCH AV,11218.0,"[40.6431768, -73.9793509]"
27,"BEVERLEY ROAD station, New York, NY",BEVERLEY ROAD,11226.0,"[40.6442291, -73.96449799999999]"
